year	hare	lynx	carrot
1990	3.00E+04	4.03E+04	48000
1901	4.72E+04	5.70E+04	45000
1902	7.02E+04	7.66E+04	43544
1903	7.74E+04	5.23E+04	54677
1904	3.63E+04	1.95E+04	50000
1905	2.06E+04	1.12E+04	43222
1906	1.81E+04	7.60E+03	44565
1907	2.14E+04	7.74E+04	32333
1908	2.20E+04	3.63E+04	56788
1909	2.54E+04	2.06E+04	54000
1910	2.71E+04	1.81E+04	60000
1911	4.03E+04	1.95E+04	56000
1912	5.70E+04	1.12E+04	45000
1913	7.66E+04	7.60E+03	34000
1914	5.23E+04	1.46E+04	56000
1915	1.95E+04	1.62E+04	23456
1916	1.12E+04	2.06E+04	56789
1917	7.60E+03	1.81E+04	34567
1918	1.46E+04	2.14E+04	34500
1919	1.62E+04	2.20E+04	45000
1920	2.47E+04	2.54E+04	45000
